Date Start,Date End,Pollster,Sample Size,Link 1,Link 2,Notes,Question,Answers,ALL % Oppose (Strong),ALL % Oppose (Somewhat),ALL % Oppose,ALL % Support,ALL % Support (Somewhat),ALL % Support (Strong),ALL % Undecided/Don't Know,ALL % Oppose Total,ALL % Support Total,ALL % Oppose Among Decided,DEM % Oppose (Strong),DEM % Oppose (Somewhat),DEM % Oppose,DEM % Support,DEM % Support (Somewhat),DEM % Support (Strong),DEM % Undecided/Don't Know,DEM % Oppose Total,DEM % Support Total,DEM % Oppose Among Decided,IND Oppose (Strong),IND Oppose (Somewhat),IND Oppose,IND Support,IND Support (Somewhat),IND Support (Strong),IND Undecided/Don't Know,IND % Oppose Total,IND % Support Total,IND % Oppose Among Decided,REP % Oppose (Strong),REP % Oppose (Somewhat),REP % Oppose,REP % Support,REP % Support (Somewhat),REP % Support (Strong),REP % Undecided/Don't Know,REP % Oppose Total,REP % Support Total,REP % Oppose Among Decided,MEN % Oppose (Strong),MEN % Oppose (Somewhat),MEN % Oppose,MEN % Support,MEN % Support (Somewhat),MEN % Support (Strong),MEN % Undecided/Don't Know,MEN % Oppose Total,MEN % Support Total,MEN % Oppose Among Decided,WOMEN Oppose (Strong),WOMEN Oppose (Somewhat),WOMEN Oppose,WOMEN Support,WOMEN Support (Somewhat),WOMEN Support (Strong),WOMEN Undecided/Don't Know,WOMEN % Oppose Total,WOMEN % Support Total,WOMEN % Oppose Among Decided,Had question about sex segregation in sport in general
"Apr 16, 2021","Apr 19, 2021",Morning Consult,1119,https://assets.morningconsult.com/wp-uploads/2021/04/22080159/210496_crosstabs_MC_SPORTS_TRANSGENDER_ATHLETE_Adults_v1_NP.pdf,,Page 5. Averages of responses for High School/College/Professional were used. There are many other questions in this polling that may be of interest. ,"Do you support or oppose allowing transgender girls or women to compete against other female athletes at each of the following levels [High school sports, College sports, Professional sports]?",Strongly support/Somwhat support/Somewhat oppose/Strongly oppose/Don't know/No opinion,0.3,0.11,,,0.176,0.223,0.186,0.41,0.399,0.506798516687268,0.14,0.11,,,0.22,0.3467,0.1767,0.25,0.5667,0.306109954695727,0.26,0.12,,,0.1767,0.1767,0.2667,0.38,0.3534,0.518134715025907,0.5833,0.1033,,,0.11,0.0833,0.12,0.6866,0.1933,0.780315944993749,0.3333,0.1167,,,0.1933,0.1967,0.1633,0.45,0.39,0.535714285714286,0.2633,0.1033,,,0.16,0.25,0.2133,0.3666,0.41,0.472057687355138,?
"Apr 23, 2021","May 7, 2021",Ipsos,1000 (“approximately”),https://www.ipsos.com/en-us/news-polls/ipsos-lgbt-pride-2021-global-survey,,"“The sample consists of approximately 1,000 individuals” in the U.S.",To what extent do you support or oppose the following: Transgender athletes competing based on the gender they identify with rather the sex they were assigned at birth,Support/Oppose/Neutral,,,0.45,0.27,,,0.28,0.45,0.27,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 3, 2021","May 18, 2021",Gallup,1016,https://news.gallup.com/file/poll/350198/210526Transgender.pdf,,,"Next, we have a question about policies for competitive sports that have separate teams for male and female athletes. Do you think transgender athletes – [ROTATED: should be able to play on sports teams that match their current gender identity (or) should only be allowed to play on sports teams that match their birth gender]?",Able to play on teams that match identity/Only on teams that match birth gender/No opinion,,,0.62,0.34,,,0.04,0.62,0.34,0.645833333333333,,,0.41,0.55,,,0.04,0.41,0.55,0.427083333333333,,,0.63,0.31,,,0.06,0.63,0.31,0.670212765957447,,,0.86,0.1,,,0.05,0.86,0.1,0.895833333333333,,,0.72,0.24,,,0.04,0.72,0.24,0.75,,,0.53,0.43,,,0.04,0.53,0.43,0.552083333333333,
"May 19, 2021","May 27, 2021",Global Sport Institute at Arizona State University/OH Predictive Insights,1800,https://globalsport.asu.edu/sites/default/files/resources/gsi_national_snapshot_poll_summer_2021_toplines_and_crosstabs.pdf,,Page 71. There are many other questions in this polling that may be of interest. ,Consider the following scenario: An athlete who was born with externally male sexual characteristics identifies as a woman and wants to compete as a woman. Should this be allowed? ,I am strongly against it/I am somewhat against it/I am neutral/I somewhat support it/I strongly support it,0.29,0.15,,,0.12,0.14,0.3,0.44,0.26,0.628571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.16,,,0.11,0.12,0.3,0.47,0.23,0.671428571428571,0.27,0.14,,,0.13,0.16,0.3,0.41,0.29,0.585714285714286,?
"Jun 22, 2021","June 23, 2021",Rasmussen,1000,https://www.rasmussenreports.com/public_content/lifestyle/social_issues/olympics_is_it_fair_to_make_women_compete_against_transgender_athletes,,,Is it fair to make women compete against transgender athletes?,Not available (Presumably Fair/Unfair/Undecided),,,0.56,0.25,,,0.19,0.56,0.25,0.691358024691358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 14, 2021","Jul 18, 2021",Axios/Momentive,5169,https://www.axios.com/2021/07/26/poll-public-split-trans-athletes-tokyo-olympics,,"This had a response not found in other polls - “Not be allowed to compete”. Overall, the percents add up to 96, rounding? “Not be allowed to compete"" was combined with Athletes of the gender they were assigned at birth.",Do you think that transgender athletes should compete against...,Athletes of the gender with which they identify/Athletes of the gender they were assigned at birth/Not be allowed to compete/Don't know,,,0.53,0.2,,,0.23,0.53,0.2,0.726027397260274,,,0.32,0.35,,,0.33,0.32,0.35,0.477611940298508,,,0.47,0.18,,,0.34,0.47,0.18,0.723076923076923,,,0.81,0.08,,,0.11,0.81,0.08,0.910112359550562,,,,,,,,,,,,,,,,,,,,,
"Aug 9, 2021","Aug 30, 2021",PPRI,2711,https://www.prri.org/wp-content/uploads/2021/09/PRRI_August_AVA_Wave_3_LGBTQ_Topline.pdf,https://www.prri.org/wp-content/uploads/2021/09/PRRI-Sep-2021-LGBTQ.pdf,The pollster has commentary comparing this poll to one from 2018 https://www.prri.org/research/most-americans-support-pro-lgbtq-policies-but-are-more-divided-over-transgender-sports-and-bathroom-policies/,"Allowing a transgender student who was listed as male on their birth certificate, but now identifies as female, to participate in high school athletic events with other female students. TODO: This says Wave 3 - there is only one other PRRI poll here, is there a missing one?",Strongly favor/Favor/Oppose/Strongly Oppose/Don't know & Refused,0.3,0.31,,,0.24,0.12,0.02,0.61,0.36,0.628865979381443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 11, 2022","Mar 15, 2022",YouGov,1000,https://docs.cdn.yougov.com/jqbb81tg24/tabs_Transgender_Issues_20220311.pdf,,Page 22,"Support Transgender Children — Allowing transgender student athletes to play on sports teams that match their gender identity, rather than the gender they were assigned at birth? [...] Do you support or oppose...",Strongly support/Somewhat support/Somewhat oppose/Strongly Oppose/Not sure,0.39,0.1,,,0.13,0.16,0.22,0.49,0.29,0.628205128205128,0.13,0.11,,,0.2,0.33,0.23,0.24,0.53,0.311688311688312,0.4,0.11,,,0.11,0.11,0.27,0.51,0.22,0.698630136986301,0.69,0.08,,,0.08,0.04,0.11,0.77,0.12,0.865168539325843,0.42,0.09,,,0.14,0.14,0.21,0.51,0.28,0.645569620253165,0.36,0.11,,,0.13,0.18,0.23,0.47,0.31,0.602564102564102,
"May 4, 2022","May 17, 2022",Washington Post/University of Maryland,1503,https://www.documentcloud.org/documents/22059552-2022-05-17-post-umd-sports-trend-for-release,https://docs.google.com/spreadsheets/d/1dq48UjecM17iQ5mFEA4wRgwJ8kTkMfewgeE99IyBjfk/edit#gid=0,"Respondents were asked this for 4 different levels, professional, college, high school, youth. High school and up were averaged.",Thinking about transgender women and girls – people whose sex was classified as male at birth but who currently identify as female – do you think transgender women and girls should or should not be allowed to compete in sports with other women and girls at each of the following levels,Should be allowed/Should not be allowed/No Opinion,,,0.57,0.2867,,,0.15,0.57,0.2867,0.665343760943154,,,0.3466,0.47,,,0.18,0.3466,0.47,0.424442811658095,,,0.5767,0.27,,,0.1567,0.5767,0.27,0.681114916735562,,,0.8333,0.0866,,,0.0766,0.8333,0.0866,0.905859332536145,,,0.64,0.2233,,,0.13,0.64,0.2233,0.741341364531449,,,0.5133,0.3233,,,0.1633,0.5133,0.3233,0.613554864929476,
"May 16, 2022","May 22, 2022",Pew Research Center,10188,https://www.pewresearch.org/social-trends/wp-content/uploads/sites/3/2022/06/PSD_06.28.22_gender.identity.topline.pdf,https://www.pewresearch.org/social-trends/wp-content/uploads/sites/3/2022/06/PSDT_06.28.22_GenderID_fullreport.pdf,Neither favor nor oppose and No answer were combined.,"Would you favor or oppose laws or policies that do each of the following? Require that transgender athletes compete on teams that match the sex they were assigned at birth, not the gender they identify with",Strongly favor/Favor/Neither favor nor oppose/Oppose/Strongly Oppose/No Answer,0.41,0.17,,,0.09,0.08,0.25,0.58,0.17,0.773333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"June 10, 2022","June 12, 2022",NPR/Ipsos,1028,https://www.ipsos.com/sites/default/files/ct/news/documents/2022-08/NPR%20Social%20Issues%20Topline.pdf,,Skipped and Not familiar with this were combined. Party data on page 10,Do you support or oppose the following? Allowing transgender female student athletes to compete on women’s and girls’ sports teams,Strongly support/Somewhat support/Somewhat oppose/Strongly Oppose/Not familiar/Skipped,0.43,0.2,,,0.14,0.1,0.14,0.63,0.24,0.724137931034483,0.2,0.21,,,0.26,0.2,0.13,0.41,0.46,0.471264367816092,0.39,0.24,,,0.13,0.08,0.16,0.63,0.21,0.75,0.77,0.11,,,0.02,0.02,0.08,0.88,0.04,0.956521739130435,,,,,,,,,,,,,,,,,,,,,
"Aug 12, 2022","Aug 15, 2022",YouGov/Washington Examiner,1000,"https://docs.cdn.yougov.com/uac0oltsyj/toplines_Schools%20and%20Gender%20Identity,%20for%20Washington%20Examiner.pdf","https://docs.cdn.yougov.com/m99cpqjj3i/crosstabs_Schools%20and%20Gender%20Identity,%20for%20Washington%20Examiner.pdf",Cross tabs Pg 99,"Do you support or oppose ... Allowing transgender student-athletes to play on sports teams that match their gender identity, rather than the gender they were assigned at birth",Strongly support/Somewhat support/Somewhat oppose/Strongly Oppose/Not sure,0.41,0.12,,,0.15,0.14,0.18,0.53,0.29,0.646341463414634,0.18,0.16,,,0.24,0.19,0.22,0.34,0.43,0.441558441558442,0.39,0.12,,,0.12,0.16,0.21,0.51,0.28,0.645569620253165,0.74,0.06,,,0.07,0.03,0.09,0.8,0.1,0.888888888888889,0.46,0.13,,,0.13,0.1,0.17,0.59,0.23,0.719512195121951,0.36,0.11,,,0.17,0.17,0.19,0.47,0.34,0.580246913580247,
"Nov 14, 2022","Nov 22, 2022",American National Election Studies,1585,https://electionstudies.org/data-center/2022-pilot-study/,https://electionstudies.org/wp-content/uploads/2022/12/anes_pilot_2022_userguidecodebook_20221214.pdf,"Using JASP, answers to transsport1 and transsport2 were combined (these questions were rotated).",transsport1: How strongly do favor or oppose allowing transgender high school athletes to compete on teams that match the gender they identify with? | transsport2: How strongly do you favor or oppose requiring transgender high school athletes to compete on teams,Strongly favor/Somewhat favor/Neither favor nor oppose/Somewhat oppose/Strongly oppose,0.4059,0.101,,,0.084,0.1484,0.2607,0.5069,0.2324,0.685648586500744,0.19,0.133,,,0.165,0.219,0.294,0.323,0.384,0.456859971711457,0.364,0.105,,,0.092,0.096,0.343,0.469,0.188,0.713850837138508,0.697,0.067,,,0.029,0.071,0.134,0.764,0.1,0.884259259259259,0.467,0.099,,,0.082,0.132,0.22,0.566,0.214,0.725641025641026,0.356,0.103,,,0.086,0.162,0.294,0.459,0.248,0.649222065063649,
"Nov 10, 2022","Dec 1, 2022",KFF/The Washington Post,1338,https://files.kff.org/attachment/Topline-KFF-Washington-Post-Trans-Survey.pdf,,"Page 19. Respondents were asked this for 4 different levels, professional, college, high school, youth. High school and up were averaged.",Thinking about trans women and girls – people whose sex was classified as male at birth but who currently identify as female – do you think trans women and girls should or should not be allowed to compete in sports with other women and girls at each of the following levels,Should be allowed/Should not be allowed/No Answer,,,0.653,0.34,,,,0.653,0.34,0.657603222557905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr, 2023","Apr, 2023",DailyMail.com/TIPP Poll,1365,https://www.dailymail.co.uk/news/article-12111435/Most-voters-womens-groups-GOP-want-stop-trans-athletes-competing-girls-sports.html,,"Little was given about this poll, aside from an infographic",Should transgender athletes only be allowed to play on sports teams that match their birth sex?,Yes/No/Not sure,,,0.55,0.26,,,0.19,0.55,0.26,0.679012345679012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"April 8, 2023","Apr 11, 2023",The Economist/YouGov,1483,https://docs.cdn.yougov.com/bwbgbyvmsw/econTabReport.pdf,,Page 62,"Allowing transgender student athletes to play on sports teams that match their gender identity, rather than the gender they were assigned at birth Do you support or oppose...?",Strongly support/Somewhat support/Somewhat oppose/Strongly Oppose/Not Sure,0.43,0.12,,,0.17,0.15,0.12,0.55,0.32,0.632183908045977,0.17,0.15,,,0.27,0.25,0.16,0.32,0.52,0.380952380952381,0.43,0.11,,,0.16,0.14,0.15,0.54,0.3,0.642857142857143,0.72,0.1,,,0.08,0.06,0.05,0.82,0.14,0.854166666666667,0.46,0.15,,,0.16,0.14,0.09,0.61,0.3,0.67032967032967,0.4,0.1,,,0.18,0.16,0.15,0.5,0.34,0.595238095238095,
"April 21, 2023","April 24, 2023",Fox News,1004,https://static.foxnews.com/foxnews.com/content/uploads/2023/04/Fox_April-21-24-2023_National_Topline_April-26-Release.pdf  ,https://static.foxnews.com/foxnews.com/content/uploads/2023/04/Fox_April-21-24-2023_Cross-Tabs_April-26-Release.pdf,The question was phrased in a very different manner. Major/Minor problem were combined.,"And in general, how much of a problem is each of the following -- a major problem, a minor problem, or not a problem?",Major problem/Minor problem/Not a problem/Don't know,,,0.81,0.18,,,0.02,0.81,0.18,0.818181818181818,,,0.7,0.27,,,0.03,0.7,0.27,0.721649484536082,,,0.83,0.16,,,0.01,0.83,0.16,0.838383838383838,,,0.9,0.09,,,0.01,0.9,0.09,0.909090909090909,,,,,,,,,,,,,,,,,,,,,
"April 27, 2023","April 29, 2023",CBS News/YouGov,2372,https://www.cbsnews.com/news/cbs-news-poll-views-book-bans-trans-rights-issues-gop-presidential-primary/,,"Little was given about this poll, aside from an infographic. There are links to PDFs, but they do not contain information about this question. The sample size comes from the poll/PDF that has the same MOE (3.1)",Transgender student athletes should play on a team that matches ...,Their birth sex/The gender they consider themselves,,,0.62,0.38,,,,0.62,0.38,0.62,,,0.42,0.58,,,,0.42,0.58,0.42,,,0.65,0.35,,,,0.65,0.35,0.65,,,0.81,0.19,,,,0.81,0.19,0.81,,,,,,,,,,,,,,,,,,,,,
"Apr 28, 2023","May 1, 2023",Scripps News/YouGov,1000,https://docs.google.com/spreadsheets/d/1UUeWam3jRJHhP7seUvLa015gmLDsv7Bm/edit#gid=127726641,,Don't know or haven't thought about it enough and Neither support nor oppose were combined,"Congress is considering amending Title IX to bar schools that receive federal funding from allowing people ""whose sex is male"" to participate in sports designated for women or girls. The amendment would effectively result in the banning of transgender women and girls from competing in school athletics. Do you support or oppose this potential ban?",Strongly support/Support/Neither support nor oppose/Oppose/Strongly Oppose/Don't know or haven't thought about enough,0.3831,0.1562,,,0.0778,0.1489,0.2339,0.5393,0.2267,0.704046997389034,0.1567,0.1783,,,0.1414,0.2724,0.2512,0.335,0.4138,0.447382478632479,0.4424,0.1348,,,0.0701,0.1107,0.2419,0.5772,0.1808,0.761477572559367,0.6577,0.1686,,,0.0248,0.0323,0.1166,0.8263,0.0571,0.935363368802354,,,,,,,,,,,,,,,,,,,,,
"May 8, 2023","May 18, 2023",Marquette Law School Poll,1010,https://law.marquette.edu/poll/2023/05/24/detailed-results-of-the-marquette-law-school-supreme-court-poll-may-8-18-2023-2/,,,"[Require that transgender athletes compete on teams that match the sex they were assigned at birth, not the gender they identify with] Which of the following proposals would you favor and which would you oppose?",Favor/Oppose/Skipped,,,0.71,0.28,,,0.01,0.71,0.28,0.717171717171717,,,0.51,0.49,,,,0.51,0.49,0.51,,,0.78,0.21,,,,0.78,0.21,0.787878787878788,,,0.9,0.1,,,,0.9,0.1,0.9,,,0.75,0.25,,,,0.75,0.25,0.75,,,0.7,0.3,,,,0.7,0.3,0.7,
"May 1, 2023","May 24, 2023",Gallup,1011,https://news.gallup.com/file/poll/507032/230612TransgenderAthletes.pdf,,This is a followup to the 2021 poll,"Next, we have a question about policies for competitive sports that have separate teams for male and female athletes. Do you think transgender athletes should be able to play on sports teams that match their current gender identity or should only be allowed to play on sports teams that match their birth gender?",Able to play on teams that match identity/Only on teams that match birth gender/No opinion,,,0.69,0.26,,,0.05,0.69,0.26,0.726315789473684,,,0.48,0.47,,,0.06,0.48,0.47,0.505263157894737,,,0.67,0.28,,,0.05,0.67,0.28,0.705263157894737,,,0.93,0.06,,,0.01,0.93,0.06,0.939393939393939,,,0.78,0.18,,,0.04,0.78,0.18,0.8125,,,0.62,0.32,,,0.06,0.62,0.32,0.659574468085106,
"May 31, 2023","Jun 8, 2023",YouGov/University of Massachusetts Amherst ,1133,https://polsci.umass.edu/sites/default/files/ToplinesCultureWarJuneteenth2023.pdf,https://polsci.umass.edu/sites/default/files/CrosstabsCultureWarJuneteenth2023.pdf,"This asks specifically about supporting bills, not fairness in general","Several state legislatures have proposed or enacted legislation that prohibits transgender youth from joining school sponsored sports teams that match their gender identity, if their gender identity is different from their sex assigned at birth. Would you support or oppose a bill that prohibits transgender youth from joining school sponsored sports teams that match their gender identity?",Strongly Support/Somewhat support/Neither/Somewhat oppose/Strongly Oppose,0.35,0.17,,,0.12,0.13,0.24,0.52,0.25,0.675324675324675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 31, 2023","Aug 3, 2023",Noble Predictive Insights/The Center Square,2500,https://www.thecentersquare.com/national/article_d92e61d6-4184-11ee-b811-8f28243a04e6.html,,"The data was pulled from the chart. The data on Republicans in the chart did not include numbers for those who supported, so the percents given in the text of the article were used until the crosstabs can be located.",Do you support allowing transgender female student athletes to compete on women’s and girls’ sports teams,Strongly Support/Somewhat support/Unsure/Somewhat oppose/Strongly Oppose,0.52,0.15,,,0.1,0.1,0.13,0.67,0.2,0.770114942528736,0.26,0.19,,,0.17,0.19,0.19,0.45,0.36,0.555555555555556,0.53,0.14,,,0.1,0.08,0.15,0.67,0.18,0.788235294117647,,,0.89,0.06,,,0.05,0.89,0.06,0.936842105263158,0.6,0.15,,,0.08,0.07,0.09,0.75,0.15,0.833333333333333,0.45,0.14,,,0.11,0.13,0.16,0.59,0.24,0.710843373493976,
